100
5000
36,127,34
69,105,58
42,47,24
32,117,93
60,109,53
90,2,79
16,142,52
23,99,66
40,133,89
80,58,80
81,101,72
30,113,89
22,31,10
62,6,83
53,132,99
6,24,28
17,51,62
73,43,72
42,117,63
4,8,89
88,129,92
27,37,81
24,45,73
94,121,24
2,8,75
38,58,92
24,122,49
92,9,28
19,76,46
89,23,15
18,3,35
64,31,74
57,5,30
54,66,29
26,7,87
46,78,4
95,31,91
68,116,49
25,87,17
52,76,35
67,72,91
32,35,67
36,66,33
18,149,23
24,58,96
35,34,92
95,101,49
23,96,52
31,102,17
15,55,27
10,33,6
55,118,21
19,146,25
0,37,54
10,98,72
76,84,70
0,129,72
34,90,36
36,119,91
88,110,68
27,70,50
53,40,60
47,101,30
93,115,53
80,144,74
12,66,71
73,120,30
86,147,71
41,120,69
99,57,95
51,60,53
86,23,65
68,137,77
67,14,7
53,17,13
71,31,49
2,64,9
13,132,24
13,57,69
39,133,17
9,119,94
4,26,70
48,29,71
50,16,48
56,89,55
60,18,17
20,13,60
73,68,57
33,149,98
40,113,67
21,138,24
88,18,58
37,106,80
18,81,14
6,75,22
96,105,52
9,67,75
79,127,7
45,63,32
28,5,43
15,39,31
6,65,34
58,5,76
33,49,2
29,127,22
55,37,69
66,77,60
72,33,70
74,64,74
13,28,52
52,87,79
80,124,23
28,116,46
76,117,71
85,115,70
85,95,40
66,39,4
70,31,67
85,112,20
14,8,67
18,114,54
28,102,47
40,100,79
26,129,73
95,23,86
17,88,50
44,129,33
18,81,5
40,119,65
51,34,14
29,109,26
15,105,36
26,35,61
78,141,17
36,51,65
42,64,69
40,121,32
74,112,1
81,63,45
2,67,42
17,125,41
34,15,83
71,35,79
53,18,66
99,61,20
63,54,68
35,44,37
88,116,76
83,74,27
14,41,50
45,70,74
45,140,85
58,66,7
66,41,42
8,131,25
75,148,98
13,40,34
42,75,51
92,108,68
25,78,13
90,100,87
15,8,60
12,34,7
7,145,61
27,59,44
90,145,76
22,11,22
75,136,14
52,84,81
10,83,23
8,50,88
88,65,15
30,26,80
9,120,97
80,126,45
46,56,18
11,37,22
64,10,2
79,54,63
42,127,6
73,88,76
1,126,20
17,128,13
24,146,64
77,56,75
21,72,69
36,72,8
98,34,33
49,28,71
91,57,70
71,80,0
71,143,52
2,142,78
65,43,89
24,30,63
94,39,91
81,135,30
42,14,8
31,48,62
58,141,13
30,51,85
57,95,38
98,88,69
16,85,86
47,134,50
36,32,22
96,45,29
35,141,16
62,16,93
97,20,4
41,52,45
23,42,42
33,12,59
50,137,72
5,64,68
81,117,62
20,57,60
31,15,24
38,43,83
0,82,81
65,1,49
86,49,13
24,125,47
3,16,10
52,104,82
75,29,97
84,66,79
78,62,77
6,23,89
75,15,79
69,75,56
38,33,66
40,87,5
8,100,55
70,119,18
59,93,25
38,44,31
34,57,35
33,87,18
1,110,30
26,37,20
